Date,^GSPC
1963-03-04,3650000
1963-03-05,3280000
1963-03-06,3100000
1963-03-07,3350000
1963-03-08,3360000
1963-03-11,3180000
1963-03-12,3350000
1963-03-13,4120000
1963-03-14,3540000
1963-03-15,3400000
1963-03-18,3250000
1963-03-19,3180000
1963-03-20,3690000
1963-03-21,3220000
1963-03-22,3820000
1963-03-25,3700000
1963-03-26,4100000
1963-03-27,4270000
1963-03-28,3890000
1963-03-29,3390000
1963-04-01,3890000
1963-04-02,4360000
1963-04-03,4660000
1963-04-04,5300000
1963-04-05,5240000
1963-04-08,5940000
1963-04-09,5090000
1963-04-10,5880000
1963-04-11,5250000
1963-04-15,5930000
1963-04-16,5570000
1963-04-17,5220000
1963-04-18,4770000
1963-04-19,4660000
1963-04-22,5180000
1963-04-23,5220000
1963-04-24,5910000
1963-04-25,5070000
1963-04-26,4490000
1963-04-29,3980000
1963-04-30,4680000
1963-05-01,5060000
1963-05-02,4480000
1963-05-03,4760000
1963-05-06,4090000
1963-05-07,4140000
1963-05-08,5140000
1963-05-09,5600000
1963-05-10,5260000
1963-05-13,4920000
1963-05-14,4740000
1963-05-15,5650000
1963-05-16,5640000
1963-05-17,4410000
1963-05-20,4710000
1963-05-21,5570000
1963-05-22,5560000
1963-05-23,4400000
1963-05-24,4320000
1963-05-27,3760000
1963-05-28,3860000
1963-05-29,4320000
1963-05-31,4680000
1963-06-03,5400000
1963-06-04,5970000
1963-06-05,5860000
1963-06-06,4990000
1963-06-07,5110000
1963-06-10,4690000
1963-06-11,4390000
1963-06-12,5210000
1963-06-13,4690000
1963-06-14,3840000
1963-06-17,3510000
1963-06-18,3910000
1963-06-19,3970000
1963-06-20,4970000
1963-06-21,4190000
1963-06-24,3700000
1963-06-25,4120000
1963-06-26,4500000
1963-06-27,4540000
1963-06-28,3020000
1963-07-01,3360000
1963-07-02,3540000
1963-07-03,4030000
1963-07-05,2910000
1963-07-08,3290000
1963-07-09,3830000
1963-07-10,3730000
1963-07-11,4100000
1963-07-12,3660000
1963-07-15,3290000
1963-07-16,3000000
1963-07-17,3940000
1963-07-18,3710000
1963-07-19,3340000
1963-07-22,3700000
1963-07-23,3500000
1963-07-24,2810000
1963-07-25,3710000
1963-07-26,2510000
1963-07-29,2840000
1963-07-30,3550000
1963-07-31,3960000
1963-08-01,3410000
1963-08-02,2940000
1963-08-05,3370000
1963-08-06,3760000
1963-08-07,3790000
1963-08-08,3460000
1963-08-09,4050000
1963-08-12,4770000
1963-08-13,4450000
1963-08-14,4420000
1963-08-15,4980000
1963-08-16,4130000
1963-08-19,3650000
1963-08-20,3660000
1963-08-21,3820000
1963-08-22,4540000
1963-08-23,4880000
1963-08-26,4700000
1963-08-27,4080000
1963-08-28,5120000
1963-08-29,5110000
1963-08-30,4560000
1963-09-03,5570000
1963-09-04,6070000
1963-09-05,5700000
1963-09-06,7160000
1963-09-09,5020000
1963-09-10,5310000
1963-09-11,6670000
1963-09-12,5560000
1963-09-13,5230000
1963-09-16,4740000
1963-09-17,4950000
1963-09-18,5070000
1963-09-19,4080000
1963-09-20,5310000
1963-09-23,5140000
1963-09-24,5520000
1963-09-25,6340000
1963-09-26,5100000
1963-09-27,4350000
1963-09-30,3730000
1963-10-01,4420000
1963-10-02,3780000
1963-10-03,4510000
1963-10-04,5120000
1963-10-07,4050000
1963-10-08,4920000
1963-10-09,5520000
1963-10-10,4470000
1963-10-11,4740000
1963-10-14,4270000
1963-10-15,4550000
1963-10-16,5570000
1963-10-17,6790000
1963-10-18,5830000
1963-10-21,5450000
1963-10-22,6420000
1963-10-23,5830000
1963-10-24,6280000
1963-10-25,6390000
1963-10-28,7150000
1963-10-29,6100000
1963-10-30,5170000
1963-10-31,5030000
1963-11-01,5240000
1963-11-04,5440000
1963-11-06,5600000
1963-11-07,4320000
1963-11-08,4570000
1963-11-11,3970000
1963-11-12,4610000
1963-11-13,4710000
1963-11-14,4610000
1963-11-15,4790000
1963-11-18,4730000
1963-11-19,4430000
1963-11-20,5330000
1963-11-21,5670000
1963-11-22,6630000
1963-11-26,9320000
1963-11-27,5210000
1963-11-29,4810000
1963-12-02,4770000
1963-12-03,4520000
1963-12-04,4790000
1963-12-05,5190000
1963-12-06,4830000
1963-12-09,4430000
1963-12-10,4560000
1963-12-11,4400000
1963-12-12,4220000
1963-12-13,4290000
1963-12-16,4280000
1963-12-17,5140000
1963-12-18,6000000
1963-12-19,4410000
1963-12-20,4600000
1963-12-23,4540000
1963-12-24,3970000
1963-12-26,3700000
1963-12-27,4360000
1963-12-30,4930000
1963-12-31,6730000
1964-01-02,4680000
1964-01-03,5550000
1964-01-06,5480000
1964-01-07,5700000
1964-01-08,5380000
1964-01-09,5180000
1964-01-10,5260000
1964-01-13,5440000
1964-01-14,6500000
1964-01-15,6750000
1964-01-16,6200000
1964-01-17,5600000
1964-01-20,5570000
1964-01-21,4800000
1964-01-22,5430000
1964-01-23,5380000
1964-01-24,5080000
1964-01-27,5240000
1964-01-28,4720000
1964-01-29,4450000
1964-01-30,4230000
1964-01-31,4000000
1964-02-03,4140000
1964-02-04,4320000
1964-02-05,4010000
1964-02-06,4110000
1964-02-07,4710000
1964-02-10,4150000
1964-02-11,4040000
1964-02-12,4650000
1964-02-13,4820000
1964-02-14,4360000
